eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
KickOff_Play_Pass,0.0,DFL-CLU-00000S,DFL-OBJ-000172,,2023-05-27 15:31:08.650000+02:00,0.0,0.0,"{'TeamLeft': 'DFL-CLU-00000B', 'GameSection': 'firstHalf', 'TeamRight': 'DFL-CLU-00000S', 'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0001I0', 'FromOpenPlay': 'false', 'PlayAngle': '180.22', 'Player': 'DFL-OBJ-000172', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '6', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Home
FreeKick_Play_Cross,31.794,DFL-CLU-00000S,DFL-OBJ-0027LO,,2023-05-27 15:31:40.444000+02:00,0.0,31.0,"{'DecisionTimestamp': '2023-05-27T15:31:21.118+02:00', 'Team': 'DFL-CLU-00000S', 'ExecutionMode': 'direct', 'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-002G8H', 'FromOpenPlay': 'false', 'PlayAngle': '49.11', 'Player': 'DFL-OBJ-0027LO', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'true', 'SemiField': 'false', 'BallPossessionPhase': '10', 'Rotation': 'awayFromGoal', 'Distance': 'medium', 'Side': 'left'}",firstHalf,Home
Delete,41.064,,,,2023-05-27 15:31:49.714000+02:00,0.0,41.0,{},firstHalf,Home
Delete,51.517,,,,2023-05-27 15:32:00.167000+02:00,0.0,51.0,{},firstHalf,Home
Delete,116.257,,,,2023-05-27 15:33:04.907000+02:00,1.0,56.0,{},firstHalf,Home
GoalKick_Play_Pass,151.346,DFL-CLU-00000S,DFL-OBJ-0001I0,,2023-05-27 15:33:39.996000+02:00,2.0,31.0,"{'DecisionTimestamp': '2023-05-27T15:33:16.483+02:00', 'Team': 'DFL-CLU-00000S', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-0027FG', 'FromOpenPlay': 'false', 'PlayAngle': '21.81', 'Player': 'DFL-OBJ-0001I0', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '34', 'Distance': 'long', 'FreeKickLayup': 'false', 'Direction': 'throughBall'}",firstHalf,Home
Delete,163.625,,,,2023-05-27 15:33:52.275000+02:00,2.0,43.0,{},firstHalf,Home
Delete,182.208,,,,2023-05-27 15:34:10.858000+02:00,3.0,2.0,{},firstHalf,Home
Delete,193.242,,,,2023-05-27 15:34:21.892000+02:00,3.0,13.0,{},firstHalf,Home
Delete,224.219,,,,2023-05-27 15:34:52.869000+02:00,3.0,44.0,{},firstHalf,Home
ThrowIn_Play_Cross,245.753,DFL-CLU-00000S,DFL-OBJ-0028NB,,2023-05-27 15:35:14.403000+02:00,4.0,5.0,"{'Side': 'left', 'DecisionTimestamp': '2023-05-27T15:34:54.906+02:00', 'Team': 'DFL-CLU-00000S', 'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-J014F7', 'FromOpenPlay': 'false', 'PlayAngle': '60.21', 'Player': 'DFL-OBJ-0028NB', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'true', 'SemiField': 'false', 'BallPossessionPhase': '65', 'Rotation': 'other', 'Distance': 'medium'}",firstHalf,Home
Delete,248.173,,,,2023-05-27 15:35:16.823000+02:00,4.0,8.0,{},firstHalf,Home
ThrowIn_Play_Pass,294.318,DFL-CLU-00000S,DFL-OBJ-J016C3,,2023-05-27 15:36:02.968000+02:00,4.0,54.0,"{'Side': 'right', 'DecisionTimestamp': '2023-05-27T15:35:47.341+02:00', 'Team': 'DFL-CLU-00000S', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-000199', 'FromOpenPlay': 'false', 'PlayAngle': '313.76', 'Player': 'DFL-OBJ-J016C3', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '76', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Home
Delete,304.079,,,,2023-05-27 15:36:12.729000+02:00,5.0,4.0,{},firstHalf,Home
BallClaiming,325.005,DFL-CLU-00000S,DFL-OBJ-0027FG,1.0,2023-05-27 15:36:33.655000+02:00,5.0,25.0,"{'Type': 'BallClaimed', 'Player': 'DFL-OBJ-0027FG', 'BallPossessionPhase': '93', 'Team': 'DFL-CLU-00000S'}",firstHalf,Home
Delete,325.537,,,,2023-05-27 15:36:34.187000+02:00,5.0,25.0,{},firstHalf,Home
