eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
KickOff_Play_Pass,0.0,DFL-CLU-00000S,DFL-OBJ-000172,,2023-05-27 15:31:08.650000+02:00,0.0,0.0,"{'TeamLeft': 'DFL-CLU-00000B', 'GameSection': 'firstHalf', 'TeamRight': 'DFL-CLU-00000S', 'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0001I0', 'FromOpenPlay': 'false', 'PlayAngle': '180.22', 'Player': 'DFL-OBJ-000172', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '6', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Home
Play_Pass,4.11,DFL-CLU-00000S,DFL-OBJ-0001I0,,2023-05-27 15:31:12.760000+02:00,0.0,4.0,"{'PlayOrigin': 'ownHalf', 'Height': 'high', 'FromOpenPlay': 'true', 'PlayAngle': '0.22', 'Player': 'DFL-OBJ-0001I0', 'FlatCross': 'false', 'Evaluation': 'successful', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '7', 'Distance': 'long', 'FreeKickLayup': 'false', 'Direction': 'throughBall'}",firstHalf,Home
TacklingGame,6.365,DFL-CLU-00000S,DFL-OBJ-0000YV,0.0,2023-05-27 15:31:15.015000+02:00,0.0,6.0,"{'Winner': 'DFL-OBJ-0000YV', 'Type': 'air', 'PossessionChange': 'false', 'WinnerTeam': 'DFL-CLU-00000S', 'LoserTeam': 'DFL-CLU-00000B', 'WinnerResult': 'fouled', 'Loser': 'DFL-OBJ-J01KDN', 'GoalKeeperInvolved': 'false', 'LoserRole': 'withoutBallControl', 'WinnerRole': 'withBallControl'}",firstHalf,Home
FreeKick_Play_Cross,31.794,DFL-CLU-00000S,DFL-OBJ-0027LO,,2023-05-27 15:31:40.444000+02:00,0.0,31.0,"{'DecisionTimestamp': '2023-05-27T15:31:21.118+02:00', 'Team': 'DFL-CLU-00000S', 'ExecutionMode': 'direct', 'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-002G8H', 'FromOpenPlay': 'false', 'PlayAngle': '49.11', 'Player': 'DFL-OBJ-0027LO', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'true', 'SemiField': 'false', 'BallPossessionPhase': '10', 'Rotation': 'awayFromGoal', 'Distance': 'medium', 'Side': 'left'}",firstHalf,Home
OtherBallAction,38.738,DFL-CLU-00000S,DFL-OBJ-0028NB,,2023-05-27 15:31:47.388000+02:00,0.0,38.0,"{'Player': 'DFL-OBJ-0028NB', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '13'}",firstHalf,Home
OtherBallAction,40.27,DFL-CLU-00000S,DFL-OBJ-000199,,2023-05-27 15:31:48.920000+02:00,0.0,40.0,"{'Player': 'DFL-OBJ-000199', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '678'}",firstHalf,Home
Delete,41.064,,,,2023-05-27 15:31:49.714000+02:00,0.0,41.0,{},firstHalf,Home
OtherBallAction,41.43,DFL-CLU-00000S,DFL-OBJ-000199,,2023-05-27 15:31:50.080000+02:00,0.0,41.0,"{'Player': 'DFL-OBJ-000199', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '680'}",firstHalf,Home
OtherBallAction,47.161,DFL-CLU-00000S,DFL-OBJ-J016C3,,2023-05-27 15:31:55.811000+02:00,0.0,47.0,"{'Player': 'DFL-OBJ-J016C3', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '18'}",firstHalf,Home
Delete,51.517,,,,2023-05-27 15:32:00.167000+02:00,0.0,51.0,{},firstHalf,Home
